FECHA_REGISTRO;COD_BODEGA;NOM_BODEGA;COD_NEGOCIO;NOM_NEGOCIO;COD_LINEA;NOM_LINEA;COD_MARCA;NOM_MARCA;COD_ARTICULO;NOM_ARTICULO;PRESENTACION;UNIDAD_VENTA;CANTIDAD_INICIAL;CANTIDAD_ENTRADAS;CANTIDAD_SALIDAS;CANTIDAD_VENTAS;CANTIDAD_DEVOLUCION;CANTIDAD_EXISTENCIAS;CANTIDAD_SEPARACION;CANTIDAD_RESERVA;CANTIDAD_TRANSITO;CANTIDAD_NO_APTA;FACTOR_ESTIBA;LOTE;FECHA_FAB;FECHA_VEN;COSTO;VALOR
202005;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;21;0;1;5;0;15;0;0;0;0;40;0;0;0;0;0
202001;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;15;0;0;2;0;13;0;0;0;0;40;0;0;0;0;0
202001;59;BODEGA ENTIDADES              ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;4;0;0;0;0;4;0;0;0;0;40;0;0;0;0;0
202001;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;12;57;16;0;0;52;1;0;8;0;40;0;0;0;0;0
202001;C7;BOD NAL DE M/CIA NO RECIBIDA  ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;19;5;19;0;0;1;4;0;4;0;40;0;0;0;0;0
202001;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;20;0;0;0;0;20;0;0;0;0;40;0;0;0;0;0
202002;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;386;0;332;0;0;54;0;0;0;0;37;0;0;0;0;0
202002;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;10078;0;13;1776;0;8289;0;0;0;0;52;0;0;0;0;0
202002;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
202002;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;118;176;235;0;2;45;16;0;525;0;52;0;0;0;0;0
202002;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;4;0;4;0;12;12;0;0;0;0;52;0;0;0;0;0
202002;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;23;0;0;0;0;23;0;0;0;0;52;0;0;0;0;0
202002;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;44339;1;69;7238;0;37028;5;0;0;0;40;0;0;0;0;0
202002;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;13;6;0;7;0;12;0;0;0;0;40;0;0;0;0;0
202002;59;BODEGA ENTIDADES              ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;4;0;0;0;0;4;0;0;0;0;40;0;0;0;0;0
202002;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;53;144;183;0;0;8;6;0;6;0;40;0;0;0;0;0
202002;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;20;0;0;2;0;18;0;0;0;0;40;0;0;0;0;0
202003;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;54;0;0;0;0;54;0;0;0;0;37;0;0;0;0;0
